gene_name	scaffold	position	mod_num	total_num	mod_ratio	label	exon_label	label_group	strand
PH02Gene48954	hic_scaffold_17	63713104	22	77	0.2857142857142857	cds1	exon1	cds	+
PH02Gene48954	hic_scaffold_17	63714088	26	84	0.3095238095238095	cds2	exon2	cds	+
PH02Gene48954	hic_scaffold_17	63714115	25	85	0.2941176470588235	cds2	exon2	cds	+
PH02Gene48954	hic_scaffold_17	63716879	24	87	0.2758620689655172	cds4	exon4	cds	+
PH02Gene48954	hic_scaffold_17	63717921	51	97	0.5257731958762887	cds5	exon5	cds	+
PH02Gene48954	hic_scaffold_17	63717967	60	98	0.6122448979591837	cds5	exon5	cds	+
PH02Gene48954	hic_scaffold_17	63718006	52	99	0.5252525252525253	cds5	exon5	cds	+
PH02Gene48954	hic_scaffold_17	63718019	31	99	0.3131313131313131	cds5	exon5	cds	+
PH02Gene48954	hic_scaffold_17	63718126	55	100	0.55	utr3p1	exon5	utr3p	+
PH02Gene48954	hic_scaffold_17	63718265	76	86	0.8837209302325582	utr3p1	exon5	utr3p	+
PH02Gene48954	hic_scaffold_17	63718312	32	53	0.6037735849056604	utr3p1	exon5	utr3p	+
PH02Gene17147	hic_scaffold_8	53785884	152	458	0.3318777292576419	utr3p1	exon8	utr3p	-
PH02Gene17147	hic_scaffold_8	53785946	95	490	0.1938775510204081	utr3p1	exon8	utr3p	-
PH02Gene17147	hic_scaffold_8	53785975	62	492	0.1260162601626016	utr3p1	exon8	utr3p	-
PH02Gene17147	hic_scaffold_8	53785991	64	490	0.1306122448979592	utr3p1	exon8	utr3p	-
PH02Gene17147	hic_scaffold_8	53786067	66	487	0.135523613963039	cds7	exon8	cds	-
PH02Gene17147	hic_scaffold_8	53786125	69	476	0.1449579831932773	cds7	exon8	cds	-
PH02Gene17147	hic_scaffold_8	53786178	52	474	0.1097046413502109	cds7	exon8	cds	-
PH02Gene17147	hic_scaffold_8	53786201	46	471	0.0976645435244161	cds7	exon8	cds	-
PH02Gene17147	hic_scaffold_8	53786301	23	462	0.0497835497835497	cds7	exon8	cds	-
PH02Gene17147	hic_scaffold_8	53786325	31	461	0.0672451193058568	cds7	exon8	cds	-
PH02Gene17147	hic_scaffold_8	53786385	71	452	0.1570796460176991	cds7	exon8	cds	-
PH02Gene17147	hic_scaffold_8	53787050	60	448	0.1339285714285714	cds6	exon7	cds	-
PH02Gene17147	hic_scaffold_8	53787058	251	448	0.5602678571428571	cds6	exon7	cds	-
