gene_name	scaffold	position	mod_num	total_num	mod_ratio	label	exon_label	label_group	strand
PH02Gene19779	hic_scaffold_6	72558242	34	44	0.7727272727272727	utr3p1	exon3	utr3p	+
PH02Gene19779	hic_scaffold_6	72558463	24	43	0.5581395348837209	utr3p1	exon3	utr3p	+
PH02Gene28034	hic_scaffold_6	24716760	3405	6149	0.553748577004391	cds5	exon5	cds	-
PH02Gene28034	hic_scaffold_6	24716789	3407	6127	0.5560633262608128	cds5	exon5	cds	-
PH02Gene28034	hic_scaffold_6	24717014	3766	5797	0.6496463688114542	cds5	exon5	cds	-
PH02Gene28034	hic_scaffold_6	24717023	3200	5780	0.5536332179930796	cds5	exon5	cds	-
PH02Gene28034	hic_scaffold_6	24717033	3503	5772	0.6068953568953569	cds5	exon5	cds	-
PH02Gene28034	hic_scaffold_6	24717200	4229	5543	0.7629442540140718	cds5	exon5	cds	-
PH02Gene28034	hic_scaffold_6	24717284	2732	5395	0.5063948100092679	cds5	exon5	cds	-
PH02Gene28034	hic_scaffold_6	24717410	2755	5226	0.5271718331419823	cds5	exon5	cds	-
PH02Gene28034	hic_scaffold_6	24718234	1197	5037	0.2376414532459797	cds4	exon4	cds	-
PH02Gene28034	hic_scaffold_6	24718285	184	4957	0.0371192253379059	cds4	exon4	cds	-
PH02Gene28034	hic_scaffold_6	24719278	2206	4811	0.4585325296196217	cds3	exon3	cds	-
PH02Gene28034	hic_scaffold_6	24719326	259	4702	0.0550829434283283	cds3	exon3	cds	-
PH02Gene28034	hic_scaffold_6	24720349	1358	4444	0.3055805580558056	cds2	exon2	cds	-
PH02Gene28034	hic_scaffold_6	24720362	796	4444	0.1791179117911791	cds2	exon2	cds	-
PH02Gene28034	hic_scaffold_6	24720698	960	4338	0.2213001383125864	utr5p1	exon1	utr5p	-
PH02Gene27863	hic_scaffold_4	47198882	21	77	0.2727272727272727	cds4	exon5	cds	+
PH02Gene27863	hic_scaffold_4	47206441	58	89	0.651685393258427	cds6	exon7	cds	+
PH02Gene27863	hic_scaffold_4	47206484	62	89	0.6966292134831461	utr3p1	exon7	utr3p	+
PH02Gene50531	hic_scaffold_10	56622197	1280	1570	0.8152866242038217	cds2	exon2	cds	+
PH02Gene26638	hic_scaffold_9	19402038	77	200	0.385	utr5p1	exon1	utr5p	+
PH02Gene26638	hic_scaffold_9	19402237	86	382	0.225130890052356	cds1	exon1	cds	+
PH02Gene26638	hic_scaffold_9	19402396	58	409	0.1418092909535452	cds1	exon1	cds	+
PH02Gene26638	hic_scaffold_9	19403202	42	419	0.1002386634844868	cds2	exon2	cds	+
PH02Gene26638	hic_scaffold_9	19403327	68	438	0.1552511415525114	cds2	exon2	cds	+
PH02Gene26638	hic_scaffold_9	19403337	36	438	0.0821917808219178	cds2	exon2	cds	+
PH02Gene26638	hic_scaffold_9	19403346	25	438	0.0570776255707762	cds2	exon2	cds	+
PH02Gene26638	hic_scaffold_9	19404170	120	460	0.2608695652173913	cds3	exon3	cds	+
PH02Gene26638	hic_scaffold_9	19404289	388	460	0.8434782608695652	cds4	exon4	cds	+
PH02Gene26638	hic_scaffold_9	19404324	424	460	0.9217391304347826	cds4	exon4	cds	+
PH02Gene26638	hic_scaffold_9	19404335	429	460	0.932608695652174	cds4	exon4	cds	+
PH02Gene26638	hic_scaffold_9	19404527	111	472	0.2351694915254237	cds5	exon5	cds	+
PH02Gene26638	hic_scaffold_9	19405492	238	476	0.5	cds6	exon6	cds	+
PH02Gene26638	hic_scaffold_9	19405567	191	487	0.3921971252566735	utr3p1	exon6	utr3p	+
PH02Gene26638	hic_scaffold_9	19405645	131	497	0.2635814889336016	utr3p1	exon6	utr3p	+
PH02Gene26638	hic_scaffold_9	19405685	322	495	0.6505050505050505	utr3p1	exon6	utr3p	+
PH02Gene26638	hic_scaffold_9	19405822	192	363	0.5289256198347108	utr3p1	exon6	utr3p	+
PH02Gene27088	hic_scaffold_4	16415553	22	32	0.6875	utr5p2	exon2	utr5p	+
PH02Gene36600	hic_scaffold_24	65768948	28	43	0.6511627906976745	cds6	exon6	cds	-
PH02Gene36600	hic_scaffold_24	65770592	29	41	0.7073170731707317	cds3	exon3	cds	-
PH02Gene14211	hic_scaffold_16	50612283	77	370	0.2081081081081081	utr3p1	exon7	utr3p	-
PH02Gene14211	hic_scaffold_16	50612287	208	389	0.5347043701799485	utr3p1	exon7	utr3p	-
PH02Gene14211	hic_scaffold_16	50612322	183	418	0.4377990430622009	utr3p1	exon7	utr3p	-
PH02Gene14211	hic_scaffold_16	50612339	201	424	0.4740566037735849	utr3p1	exon7	utr3p	-
PH02Gene14211	hic_scaffold_16	50612349	188	426	0.4413145539906103	utr3p1	exon7	utr3p	-
PH02Gene14211	hic_scaffold_16	50612461	41	426	0.096244131455399	utr3p1	exon7	utr3p	-
PH02Gene14211	hic_scaffold_16	50612503	36	421	0.0855106888361045	cds7	exon7	cds	-
PH02Gene14211	hic_scaffold_16	50614708	227	389	0.583547557840617	cds5	exon5	cds	-
PH02Gene14211	hic_scaffold_16	50618244	29	374	0.0775401069518716	cds3	exon3	cds	-
PH02Gene14211	hic_scaffold_16	50619248	75	359	0.2089136490250696	cds2	exon2	cds	-
PH02Gene14211	hic_scaffold_16	50619582	92	342	0.2690058479532163	cds1	exon1	cds	-
PH02Gene36588	hic_scaffold_24	65952230	174	871	0.1997703788748565	utr5p1	exon1	utr5p	+
PH02Gene36588	hic_scaffold_24	65952235	47	871	0.0539609644087256	utr5p1	exon1	utr5p	+
PH02Gene36588	hic_scaffold_24	65952330	214	895	0.2391061452513966	cds1	exon1	cds	+
PH02Gene36588	hic_scaffold_24	65952673	93	920	0.1010869565217391	cds2	exon2	cds	+
PH02Gene36588	hic_scaffold_24	65952746	67	931	0.0719656283566058	cds2	exon2	cds	+
PH02Gene36588	hic_scaffold_24	65952832	501	939	0.5335463258785943	utr3p1	exon2	utr3p	+
PH02Gene36588	hic_scaffold_24	65952991	254	869	0.2922899884925201	utr3p1	exon2	utr3p	+
PH02Gene36588	hic_scaffold_24	65953099	23	159	0.1446540880503144	utr3p1	exon2	utr3p	+
PH02Gene06475	hic_scaffold_3	94079508	32	50	0.64	utr3p1	exon4	utr3p	-
PH02Gene06475	hic_scaffold_3	94079544	22	49	0.4489795918367347	utr3p1	exon4	utr3p	-
PH02Gene06475	hic_scaffold_3	94081955	29	45	0.6444444444444445	cds3	exon3	cds	-
PH02Gene06475	hic_scaffold_3	94082239	32	45	0.7111111111111111	cds2	exon2	cds	-
PH02Gene06475	hic_scaffold_3	94082766	26	42	0.6190476190476191	cds1	exon1	cds	-
PH02Gene33921	hic_scaffold_5	55338500	43	204	0.2107843137254902	utr3p1	exon5	utr3p	-
PH02Gene33921	hic_scaffold_5	55338549	73	211	0.3459715639810427	utr3p1	exon5	utr3p	-
PH02Gene33921	hic_scaffold_5	55338554	188	211	0.8909952606635071	utr3p1	exon5	utr3p	-
PH02Gene33921	hic_scaffold_5	55338579	48	211	0.2274881516587677	utr3p1	exon5	utr3p	-
PH02Gene33921	hic_scaffold_5	55338680	33	208	0.1586538461538461	cds5	exon5	cds	-
PH02Gene33921	hic_scaffold_5	55338700	106	207	0.5120772946859904	cds5	exon5	cds	-
PH02Gene33921	hic_scaffold_5	55338785	27	201	0.1343283582089552	cds5	exon5	cds	-
PH02Gene33921	hic_scaffold_5	55339188	23	199	0.1155778894472361	cds4	exon4	cds	-
PH02Gene33921	hic_scaffold_5	55339659	20	192	0.1041666666666666	cds3	exon3	cds	-
PH02Gene33921	hic_scaffold_5	55339675	63	190	0.331578947368421	cds3	exon3	cds	-
PH02Gene33921	hic_scaffold_5	55339727	47	187	0.2513368983957219	cds3	exon3	cds	-
PH02Gene11077	hic_scaffold_12	33970319	98	223	0.4394618834080717	cds3	exon3	cds	+
PH02Gene11077	hic_scaffold_12	33970369	21	227	0.092511013215859	cds3	exon3	cds	+
PH02Gene11077	hic_scaffold_12	33970424	51	229	0.222707423580786	cds3	exon3	cds	+
PH02Gene11077	hic_scaffold_12	33973570	23	249	0.0923694779116465	cds7	exon7	cds	+
PH02Gene11077	hic_scaffold_12	33973739	31	256	0.12109375	utr3p1	exon7	utr3p	+
PH02Gene11077	hic_scaffold_12	33973763	148	257	0.5758754863813229	utr3p1	exon7	utr3p	+
PH02Gene11077	hic_scaffold_12	33973776	55	258	0.2131782945736434	utr3p1	exon7	utr3p	+
PH02Gene11077	hic_scaffold_12	33973810	176	257	0.6848249027237354	utr3p1	exon7	utr3p	+
PH02Gene11077	hic_scaffold_12	33973855	139	253	0.549407114624506	utr3p1	exon7	utr3p	+
PH02Gene29217	hic_scaffold_16	58757278	140	213	0.6572769953051644	utr3p1	exon6	utr3p	-
PH02Gene29217	hic_scaffold_16	58757342	220	346	0.6358381502890174	utr3p1	exon6	utr3p	-
PH02Gene29217	hic_scaffold_16	58757450	80	382	0.2094240837696335	utr3p1	exon6	utr3p	-
PH02Gene29217	hic_scaffold_16	58757456	237	385	0.6155844155844156	utr3p1	exon6	utr3p	-
PH02Gene29217	hic_scaffold_16	58757539	145	385	0.3766233766233766	utr3p1	exon6	utr3p	-
PH02Gene29217	hic_scaffold_16	58764652	80	337	0.2373887240356083	cds2	exon2	cds	-
PH02Gene29217	hic_scaffold_16	58764757	215	335	0.6417910447761194	cds1	exon1	cds	-
PH02Gene29217	hic_scaffold_16	58764856	85	326	0.2607361963190184	cds1	exon1	cds	-
PH02Gene03955	hic_scaffold_13	137066245	32	136	0.2352941176470588	utr3p1	exon7	utr3p	-
PH02Gene03955	hic_scaffold_13	137066309	56	136	0.4117647058823529	cds7	exon7	cds	-
PH02Gene03955	hic_scaffold_13	137066334	96	136	0.7058823529411765	cds7	exon7	cds	-
PH02Gene03955	hic_scaffold_13	137066347	102	136	0.75	cds7	exon7	cds	-
PH02Gene03955	hic_scaffold_13	137066382	113	133	0.849624060150376	cds7	exon7	cds	-
PH02Gene03955	hic_scaffold_13	137066419	96	133	0.7218045112781954	cds7	exon7	cds	-
PH02Gene03955	hic_scaffold_13	137066527	83	133	0.6240601503759399	cds7	exon7	cds	-
PH02Gene03955	hic_scaffold_13	137066591	98	133	0.7368421052631579	cds7	exon7	cds	-
PH02Gene03955	hic_scaffold_13	137066604	77	133	0.5789473684210527	cds7	exon7	cds	-
PH02Gene03955	hic_scaffold_13	137066831	50	129	0.3875968992248062	cds6	exon6	cds	-
PH02Gene03955	hic_scaffold_13	137066861	51	129	0.3953488372093023	cds6	exon6	cds	-
PH02Gene03955	hic_scaffold_13	137068651	26	109	0.2385321100917431	cds1	exon1	cds	-
PH02Gene25436	hic_scaffold_7	52911598	22	23	0.9565217391304348	cds7	exon7	cds	-
PH02Gene03812	hic_scaffold_3	84868537	20	26	0.7692307692307693	cds3	exon3	cds	+
PH02Gene03812	hic_scaffold_3	84869427	20	33	0.6060606060606061	cds3	exon3	cds	+
PH02Gene03812	hic_scaffold_3	84869642	21	35	0.6	cds3	exon3	cds	+
PH02Gene03812	hic_scaffold_3	84869838	21	36	0.5833333333333334	cds3	exon3	cds	+
PH02Gene03812	hic_scaffold_3	84870275	32	48	0.6666666666666666	cds3	exon3	cds	+
PH02Gene16573	hic_scaffold_17	56592790	240	540	0.4444444444444444	utr3p1	exon4	utr3p	-
PH02Gene16573	hic_scaffold_17	56592850	474	1133	0.4183583406884378	utr3p1	exon4	utr3p	-
PH02Gene16573	hic_scaffold_17	56592928	848	1366	0.6207906295754027	utr3p1	exon4	utr3p	-
PH02Gene16573	hic_scaffold_17	56592995	323	1374	0.235080058224163	utr3p1	exon4	utr3p	-
PH02Gene16573	hic_scaffold_17	56593087	183	1371	0.1334792122538293	cds4	exon4	cds	-
PH02Gene16573	hic_scaffold_17	56593114	202	1361	0.1484202792064658	cds4	exon4	cds	-
PH02Gene07641	hic_scaffold_11	40067605	28	32	0.875	utr3p1	exon12	utr3p	-
PH02Gene07641	hic_scaffold_11	40067695	31	72	0.4305555555555556	utr3p1	exon12	utr3p	-
PH02Gene07641	hic_scaffold_11	40067758	52	74	0.7027027027027027	utr3p1	exon12	utr3p	-
PH02Gene07641	hic_scaffold_11	40067831	47	74	0.6351351351351351	utr3p1	exon12	utr3p	-
